As of: ,,2-Dec-21,,,,,,,,,,,,"Prepared by: Shelby Chase, Safety and Enforcement Division"
Utility,Year,Outage Start,Full Restoration ,Outage Duration,Outage Days,Outage Hours,Circuit Name,HFTD,TOTAL CUSTOMERS IMPACTED,RESIDENTIAL CUSTOMERS,COMMERCIAL/INDUSTRIAL CUSTOMERS,MEDICAL BASELINE CUSTOMERS,OTHER CUSTOMERS,Notes
SDG&E,2014,11/24/14 23:17,11/25/14 11:54,"0 days,12 hrs,37 min",0.526,12.62,TL 626 - CIRCUIT 238,N/A,1,N/A,N/A,N/A,N/A,
SDG&E,2014,11/24/14 23:18,11/25/14 8:45,"0 days,9 hrs,27 min",0.394,9.45,79,N/A,2,N/A,N/A,N/A,N/A,
SDG&E,2017,9/21/17 14:54,9/22/17 9:14,"0 days,18 hrs,20 min",0.764,18.33,221,N/A,3,0,3,0,0,"Only impacted 3 commercial customers, all of which had backup generators"
SDG&E,2017,10/20/17 1:52,10/21/17 15:50,"1 days,13 hrs,58 min",1.582,37.97,221,N/A,3,0,3,0,0,"Only impacted 3 commercial customers, all of which had backup generators"
SDG&E,2017,10/23/17 9:20,10/23/17 15:26,"0 days,6 hrs,6 min",0.254,6.1,79,N/A,87,60,31,1,0,Customer counts account for both de-energizations of Circuit 79 on this day
SDG&E,2017,10/23/17 9:26,10/25/17 12:15,"2 days,2 hrs,49 min",2.117,50.82,TL 626,N/A,1,1,1,0,0,
SDG&E,2017,10/23/17 22:54,10/25/17 12:23,"1 days,13 hrs,29 min",1.562,37.48,79,N/A,87,60,31,1,0,Customer counts account for both de-energizations of Circuit 79 on this day
SDG&E,2017,12/5/17 8:11,12/11/17 9:03,"6 days,0 hrs,52 min",6.036,144.87,79,N/A,87,61,26,3,0,
SDG&E,2017,12/6/17 19:40,12/8/17 18:38,"1 days,22 hrs,58 min",1.957,46.97,441,N/A,75,48,27,3,0,
SDG&E,2017,12/6/17 19:41,12/8/17 15:21,"1 days,19 hrs,40 min",1.819,43.67,1215,N/A,132,102,30,5,0,
SDG&E,2017,12/6/17 20:16,12/8/17 15:38,"1 days,19 hrs,22 min",1.807,43.37,214,N/A,362,289,73,7,0,
SDG&E,2017,12/6/17 20:17,12/8/17 15:13,"1 days,18 hrs,56 min",1.789,42.93,1215,N/A,11,0,11,0,0,
SDG&E,2017,12/6/17 20:20,12/8/17 17:05,"1 days,20 hrs,45 min",1.865,44.75,445,N/A,348,291,57,11,0,
PG&E,2018,10/14/18 20:24,10/17/18 8:47,"2 days,12 hrs,23 min",2.52,60.38,SILVERADO-2104,Tiers 2 & 3,3,0,3,0,0,
PG&E,2018,10/14/18 20:28,10/16/18 12:58,"1 days,16 hrs,30 min",1.69,40.5,KONOCTI-1102,Tiers 2 & 3,1131,976,124,46,31,
PG&E,2018,10/14/18 20:29,10/15/18 16:48,"0 days,20 hrs,19 min",0.85,20.32,SILVERADO-2102,Tiers 2 & 3,0,0,0,0,0,
PG&E,2018,10/14/18 20:30,10/15/18 16:13,"0 days,19 hrs,43 min",0.82,19.72,CLEAR LAKE-1101,Tiers 2 & 3,491,300,98,9,93,
PG&E,2018,10/14/18 20:34,10/15/18 21:27,"1 days,0 hrs,53 min",1.04,24.88,CALISTOGA-1101,Tiers 2 & 3,1596,1216,233,27,147,
PG&E,2018,10/14/18 20:34,10/15/18 17:37,"0 days,21 hrs,3 min",0.88,21.05,CALISTOGA-1102,Tiers 2 & 3,2132,1600,427,31,105,
PG&E,2018,10/14/18 20:34,10/15/18 10:43,"0 days,14 hrs,9 min",0.59,14.15,FULTON-CALISTOGA (60 kV),Tiers 2 & 3,1999,1565,274,58,160,Resulted in outages to distribution substations and may have impacted customers outside of HFTD
PG&E,2018,10/14/18 20:35,10/15/18 17:53,"0 days,21 hrs,18 min",0.89,21.3,REDBUD-1102,Tiers 2 & 3,0,0,0,0,0,
PG&E,2018,10/14/18 20:39,10/16/18 17:49,"1 days,21 hrs,10 min",1.88,45.17,MIDDLETOWN-1103,Tiers 2 & 3,5243,4762,365,231,116,
PG&E,2018,10/14/18 20:39,10/16/18 17:49,"1 days,21 hrs,10 min",1.88,45.17,MIDDLETOWN-1102,Tiers 2 & 3,1617,1306,268,67,43,
PG&E,2018,10/14/18 20:39,10/16/18 15:40,"1 days,19 hrs,1 min",1.79,43.02,MIDDLETOWN-1101,Tiers 2 & 3,4401,3815,415,228,171,
PG&E,2018,10/14/18 20:39,10/15/18 17:50,"0 days,21 hrs,11 min",0.88,21.18,REDBUD-1101,Tiers 2 & 3,2911,2502,224,125,185,
PG&E,2018,10/14/18 20:39,10/15/18 11:19,"0 days,14 hrs,40 min",0.61,14.67,KONOCTI-MIDDLETOWN (60 kV),Tiers 2 & 3,54,42,6,1,6,Resulted in outages to distribution substations and may have impacted customers outside of HFTD
PG&E,2018,10/14/18 20:40,10/16/18 18:21,"1 days,21 hrs,41 min",1.9,45.68,HIGHLANDS-1102,Tiers 2 & 3,156,96,37,3,23,
PG&E,2018,10/14/18 21:00,10/15/18 18:37,"0 days,21 hrs,37 min",0.9,21.62,EL DORADO PH-2102,Tier 3,2242,2047,149,121,46,
PG&E,2018,10/14/18 21:00,10/15/18 16:29,"0 days,19 hrs,29 min",0.81,19.48,APPLE HILL-1103,Tiers 2 & 3,1809,1488,258,66,63,
PG&E,2018,10/14/18 21:01,10/15/18 20:18,"0 days,23 hrs,17 min",0.97,23.28,OLETA-1102,Tiers 2 & 3,3407,3031,166,211,210,
PG&E,2018,10/14/18 21:04,10/15/18 17:30,"0 days,20 hrs,26 min",0.85,20.43,EL DORADO PH-2101,Tiers 2 & 3,1649,1455,135,83,59,
PG&E,2018,10/14/18 21:05,10/16/18 18:04,"1 days,20 hrs,59 min",1.87,44.98,APPLE HILL-2102,Tiers 2 & 3,4489,4013,327,216,149,
PG&E,2018,10/14/18 21:06,10/15/18 18:21,"0 days,21 hrs,15 min",0.89,21.25,PLACERVILLE-1110,Tiers 2 & 3,14,2,11,0,1,
PG&E,2018,10/14/18 21:08,10/16/18 15:26,"1 days,18 hrs,18 min",1.76,42.3,PLACERVILLE-2106,Tiers 2 & 3,1785,1692,62,70,31,
PG&E,2018,10/14/18 21:09,10/16/18 14:10,"1 days,17 hrs,1 min",1.71,41.02,MOUNTAIN QUARRIES-2101,Tiers 2 & 3,916,780,52,48,84,
PG&E,2018,10/14/18 21:11,10/16/18 17:16,"1 days,20 hrs,5 min",1.84,44.08,WEST POINT-1101,Tiers 2 & 3,1,0,1,0,0,
PG&E,2018,10/14/18 21:17,10/15/18 18:37,"0 days,21 hrs,20 min",0.89,21.33,APPLE HILL-1104,Tiers 2 & 3,2261,2043,151,104,67,
PG&E,2018,10/14/18 21:19,10/15/18 14:08,"0 days,16 hrs,49 min",0.7,16.82,GOLD HILL #1 (60 kV),Tiers 2 & 3,2342,2074,199,100,69,
PG&E,2018,10/14/18 21:20,10/15/18 14:47,"0 days,17 hrs,27 min",0.73,17.45,DIAMOND SPRINGS-1104,Tiers 2 & 3,1014,934,70,71,10,
PG&E,2018,10/14/18 21:24,10/15/18 10:00,"0 days,12 hrs,36 min",0.52,12.6,TIGER CREEK-0201,Tiers 2 & 3,0,0,0,0,0,
PG&E,2018,10/14/18 21:25,10/15/18 15:11,"0 days,17 hrs,46 min",0.74,17.77,DIAMOND SPRINGS-1103,Tiers 2 & 3,2224,1779,406,107,39,
PG&E,2018,10/14/18 21:27,10/16/18 12:19,"1 days,14 hrs,52 min",1.62,38.87,FORESTHILL-1101,Tiers 2 & 3,421,395,23,15,3,
PG&E,2018,10/14/18 21:27,10/15/18 14:57,"0 days,17 hrs,30 min",0.73,17.5,FORESTHILL-1102,Tiers 2 & 3,25,15,7,0,3,
PG&E,2018,10/14/18 21:27,10/15/18 14:21,"0 days,16 hrs,54 min",0.7,16.9,FRENCH MEADOWS-MIDDLE FORK (60 kV),Tier 3,2800,2322,283,91,195,
PG&E,2018,10/14/18 21:27,10/15/18 14:21,"0 days,16 hrs,54 min",0.7,16.9,MIDDLE FORK #1 (60 kV),Tier 3,1368,1179,147,72,42,
PG&E,2018,10/14/18 21:27,10/15/18 13:15,"0 days,15 hrs,48 min",0.66,15.8,WEIMAR #1 (60 kV),Tiers 2 & 3,0,0,0,0,0,Resulted in outages to distribution substations and may have impacted customers outside of HFTD
PG&E,2018,10/14/18 21:35,10/15/18 16:32,"0 days,18 hrs,57 min",0.79,18.95,DIAMOND SPRINGS-1107,Tiers 2 & 3,1844,1443,353,67,48,
PG&E,2018,10/14/18 21:54,10/15/18 18:24,"0 days,20 hrs,30 min",0.85,20.5,BONNIE NOOK-1101,Tier 3,514,421,67,13,26,
PG&E,2018,10/14/18 21:54,10/15/18 18:04,"0 days,20 hrs,10 min",0.84,20.17,BONNIE NOOK-1102,Tier 3,533,454,62,17,17,
PG&E,2018,10/14/18 21:54,10/15/18 11:32,"0 days,13 hrs,38 min",0.57,13.63,DRUM-GRASS VALLEY-WEIMAR (60 kV),Tiers 2 & 3,4198,3892,230,174,76,Resulted in outages to distribution substations and may have impacted customers outside of HFTD
PG&E,2018,10/14/18 22:11,10/17/18 8:05,"2 days,9 hrs,54 min",2.41,57.9,WEST POINT-1102,Tiers 2 & 3,1,0,1,0,0,
PG&E,2018,10/14/18 22:11,10/16/18 15:19,"1 days,17 hrs,8 min",1.71,41.13,PINE GROVE-1102,Tiers 2 & 3,2287,1872,232,57,183,
PG&E,2018,10/14/18 22:11,10/15/18 19:34,"0 days,21 hrs,23 min",0.89,21.38,PINE GROVE-1101,Tier 2,207,107,58,0,42,
PG&E,2018,10/14/18 22:11,10/15/18 10:52,"0 days,12 hrs,41 min",0.53,12.68,WEST POINT-VALLEY SPRING (60 kV),Tiers 2 & 3,1,0,1,0,0,Resulted in outages to distribution substations and may have impacted customers outside of HFTD
SDG&E,2017,12/6/17 21:35,12/11/17 15:01,"4 days,17 hrs,26 min",4.726,113.43,238,N/A,2,1,1,0,0,
SDG&E,2017,12/6/17 21:58,12/8/17 21:47,"1 days,23 hrs,49 min",1.992,47.82,222,N/A,465,366,99,9,0,
SDG&E,2017,12/7/17 4:53,12/8/17 14:47,"1 days,9 hrs,54 min",1.412,33.9,440,N/A,262,208,54,2,0,
SDG&E,2017,12/7/17 5:09,12/8/17 10:53,"1 days,5 hrs,44 min",1.239,29.73,SCE-TM1-SUB,N/A,34,29,5,1,0,
SDG&E,2017,12/7/17 5:11,12/8/17 13:44,"1 days,8 hrs,33 min",1.356,32.55,217,N/A,165,94,71,2,0,
SDG&E,2017,12/7/17 6:43,12/8/17 15:50,"1 days,9 hrs,7 min",1.38,33.12,444,N/A,418,334,84,24,0,
SDG&E,2017,12/7/17 6:44,12/8/17 21:16,"1 days,14 hrs,32 min",1.606,38.53,222,N/A,557,408,149,17,0,
SDG&E,2017,12/7/17 6:45,12/8/17 17:00,"1 days,10 hrs,15 min",1.427,34.25,445,N/A,605,466,141,22,0,
SDG&E,2017,12/7/17 6:47,12/8/17 15:47,"1 days,9 hrs,0 min",1.375,33,442,N/A,849,742,107,36,0,
SDG&E,2017,12/7/17 6:53,12/8/17 9:51,"1 days,2 hrs,58 min",1.124,26.97,442,N/A,1,0,1,0,0,
SDG&E,2017,12/7/17 6:56,12/8/17 18:30,"1 days,11 hrs,34 min",1.482,35.57,441,N/A,17,3,14,0,0,
SDG&E,2017,12/7/17 7:00,12/8/17 10:40,"1 days,3 hrs,40 min",1.153,27.67,357,N/A,306,284,22,17,0,
SDG&E,2017,12/7/17 7:03,12/8/17 10:11,"1 days,3 hrs,8 min",1.131,27.13,1458,N/A,924,858,66,48,0,
SDG&E,2017,12/7/17 7:11,12/8/17 16:00,"1 days,8 hrs,49 min",1.367,32.82,73,N/A,756,601,155,22,0,
SDG&E,2017,12/7/17 7:13,12/8/17 12:45,"1 days,5 hrs,32 min",1.231,29.53,78,N/A,264,229,35,13,0,
SDG&E,2017,12/7/17 7:19,12/8/17 11:55,"1 days,4 hrs,36 min",1.192,28.6,79,N/A,1,1,0,0,0,
SDG&E,2017,12/7/17 7:21,12/8/17 13:23,"1 days,6 hrs,2 min",1.251,30.03,79,N/A,677,530,147,15,0,
SDG&E,2017,12/7/17 7:22,12/8/17 13:02,"1 days,5 hrs,40 min",1.236,29.67,79,N/A,94,82,12,0,0,
SDG&E,2017,12/7/17 8:35,12/8/17 20:45,"1 days,12 hrs,10 min",1.507,36.17,212,N/A,106,66,40,3,0,
SDG&E,2017,12/7/17 8:35,12/8/17 18:50,"1 days,10 hrs,15 min",1.427,34.25,212,N/A,538,342,197,11,0,
SDG&E,2017,12/7/17 9:12,12/8/17 14:54,"1 days,5 hrs,42 min",1.238,29.7,358,N/A,252,168,84,5,0,
SDG&E,2017,12/7/17 10:51,12/11/17 7:55,"3 days,21 hrs,4 min",3.878,93.07,221,N/A,1619,1297,322,38,0,
SDG&E,2017,12/7/17 11:14,12/8/17 21:23,"1 days,10 hrs,9 min",1.423,34.15,211,N/A,286,212,72,16,0,
SDG&E,2017,12/7/17 12:04,12/8/17 11:02,"0 days,22 hrs,58 min",0.957,22.97,75,N/A,44,7,37,0,0,
SDG&E,2017,12/7/17 13:00,12/8/17 10:04,"0 days,21 hrs,4 min",0.878,21.07,RB1,N/A,266,153,113,2,0,
SDG&E,2017,12/7/17 13:03,12/8/17 18:10,"1 days,5 hrs,7 min",1.213,29.12,157,N/A,338,231,107,8,0,
SDG&E,2017,12/7/17 13:04,12/8/17 15:14,"1 days,2 hrs,10 min",1.09,26.17,214,N/A,343,271,72,4,0,
SDG&E,2017,12/7/17 14:19,12/8/17 23:07,"1 days,8 hrs,48 min",1.367,32.8,222,N/A,388,227,161,6,0,
SDG&E,2017,12/7/17 14:22,12/8/17 14:34,"1 days,0 hrs,12 min",1.008,24.2,237,N/A,673,519,153,25,0,
SDG&E,2017,12/7/17 18:02,12/8/17 23:06,"1 days,5 hrs,4 min",1.211,29.07,220,N/A,289,204,85,4,0,
SDG&E,2017,12/9/17 8:37,12/11/17 8:07,"1 days,23 hrs,30 min",1.979,47.5,358,N/A,252,168,84,5,0,
SDG&E,2017,12/9/17 10:43,12/11/17 11:19,"2 days,0 hrs,36 min",2.025,48.6,445,N/A,348,291,57,17,0,
SDG&E,2017,12/9/17 10:51,12/11/17 10:18,"1 days,23 hrs,27 min",1.977,47.45,1215,N/A,11,0,11,0,0,
SDG&E,2017,12/9/17 10:52,12/11/17 10:31,"1 days,23 hrs,39 min",1.985,47.65,1215,N/A,132,102,30,5,0,
SDG&E,2017,12/9/17 11:42,12/11/17 13:52,"2 days,2 hrs,10 min",2.09,50.17,222,N/A,1022,774,248,26,0,
SDG&E,2017,12/9/17 11:45,12/11/17 14:10,"2 days,2 hrs,25 min",2.101,50.42,222,N/A,388,227,161,6,0,
SDG&E,2017,12/9/17 17:09,12/11/17 13:28,"1 days,20 hrs,19 min",1.847,44.32,1030,N/A,493,418,74,17,0,
SDG&E,2017,12/9/17 18:43,12/11/17 15:13,"1 days,20 hrs,30 min",1.854,44.5,217,N/A,166,94,72,0,0,
SDG&E,2017,12/9/17 19:24,12/11/17 15:22,"1 days,19 hrs,58 min",1.832,43.97,SCE-TM1-SUB,N/A,34,29,5,1,,
SDG&E,2017,12/9/17 23:12,12/11/17 12:42,"1 days,13 hrs,30 min",1.563,37.5,1030,N/A,820,610,211,29,0,
SDG&E,2017,12/10/17 2:34,12/11/17 8:24,"1 days,5 hrs,50 min",1.243,29.83,75,N/A,47,8,39,0,0,
SDG&E,2017,12/10/17 7:46,12/11/17 13:38,"1 days,5 hrs,52 min",1.244,29.87,157,N/A,338,231,107,8,0,
SDG&E,2017,12/10/17 7:49,12/11/17 12:14,"1 days,4 hrs,25 min",1.184,28.42,"448, 449",N/A,1603,1317,286,72,0,
SDG&E,2017,12/10/17 8:26,12/11/17 8:04,"0 days,23 hrs,38 min",0.985,23.63,441,N/A,92,51,41,3,0,
SDG&E,2017,12/10/17 8:41,12/11/17 18:36,"1 days,9 hrs,55 min",1.413,33.92,212,N/A,106,66,40,3,0,
SDG&E,2017,12/10/17 8:41,12/11/17 17:58,"1 days,9 hrs,17 min",1.387,33.28,212,N/A,538,342,197,11,0,
SDG&E,2017,12/10/17 8:50,12/11/17 15:43,"1 days,6 hrs,53 min",1.287,30.88,221,N/A,99,69,30,0,0,
SDG&E,2017,12/10/17 9:02,12/11/17 9:24,"1 days,0 hrs,22 min",1.015,24.37,78,N/A,266,231,35,13,0,
SDG&E,2017,12/10/17 10:06,12/11/17 10:12,"1 days,0 hrs,6 min",1.004,24.1,237,N/A,672,519,153,25,0,
SDG&E,2017,12/14/17 19:06,12/15/17 12:23,"0 days,17 hrs,17 min",0.72,17.28,79,N/A,87,61,26,3,0,
SCE,2019,1/1/19 2:27,1/1/19 17:08,"0 days,14 hrs,41 min",0.61,14.68,TAIWAIN,XXX,34,,,,,Mostly just impacted commercial customers
SDG&E,2017,12/15/17 1:49,12/15/17 12:50,"0 days,11 hrs,1 min",0.459,11.02,79,N/A,5,2,3,0,0,
SDG&E,2017,12/15/17 2:27,12/15/17 13:00,"0 days,10 hrs,33 min",0.44,10.55,445,N/A,348,291,57,11,0,
SDG&E,2017,12/15/17 2:29,12/15/17 11:36,"0 days,9 hrs,7 min",0.38,9.12,1215,N/A,11,0,11,0,0,
SDG&E,2017,12/15/17 2:32,12/15/17 11:58,"0 days,9 hrs,26 min",0.393,9.43,441,N/A,75,48,27,3,0,
SDG&E,2017,12/15/17 2:32,12/15/17 12:07,"0 days,9 hrs,35 min",0.399,9.58,1215,N/A,132,102,30,5,0,
SDG&E,2018,10/15/18 10:06,10/16/18 12:30,"1 days,2 hrs,24 min",1.1,26.4,TL 682,Tiers 2 & 3,0,0,0,0,0,Event had no customer impact
SDG&E,2018,10/15/18 10:28,10/15/18 17:33,"0 days,7 hrs,5 min",0.3,7.08,214,Tier 3,360,288,72,9,0,
SDG&E,2018,10/15/18 16:20,10/16/18 20:02,"1 days,3 hrs,42 min",1.15,27.7,TL 626,Tier 3,0,0,0,0,0,Event had no customer impact
SDG&E,2018,10/15/18 21:45,10/16/18 9:09,"0 days,11 hrs,24 min",0.47,11.4,79,Tier 3,19,10,9,2,0,
SDG&E,2018,10/19/18 3:06,10/20/18 9:38,"1 days,6 hrs,32 min",1.27,30.53,79,Tier 3,19,10,9,2,0,
SDG&E,2018,11/11/18 4:02,11/12/18 14:53,"1 days,10 hrs,51 min",1.45,34.85,1030,Tiers 2 & 3,30,28,2,1,0,
SDG&E,2018,11/11/18 20:45,11/15/18 12:46,"3 days,16 hrs,1 min",3.667,88.02,79,Tier 3,20,12,8,2,0,
SDG&E,2018,11/11/18 21:18,11/14/18 14:09,"2 days,16 hrs,51 min",2.7,64.85,1215,Tier 3,160,115,45,5,0,
SDG&E,2018,11/11/18 21:19,11/14/18 13:00,"2 days,15 hrs,41 min",2.65,63.68,445,Tier 2,515,416,99,26,0,
SDG&E,2018,11/11/18 21:27,11/15/18 13:31,"3 days,16 hrs,4 min",3.67,88.07,440,Tier 3,262,207,55,3,0,
SDG&E,2018,11/11/18 23:50,11/12/18 16:49,"0 days,16 hrs,59 min",0.71,16.98,358,Tiers 2 & 3,187,166,21,6,0,
SDG&E,2018,11/12/18 3:04,11/15/18 12:02,"3 days,8 hrs,58 min",3.37,80.97,238,Tier 3,2,1,1,0,0,
SDG&E,2018,11/12/18 4:02,11/12/18 14:53,"0 days,10 hrs,51 min",0.45,10.85,1030,Tiers 2 & 3,650,510,140,34,0,
SDG&E,2018,11/12/18 4:38,11/15/18 18:04,"3 days,13 hrs,26 min",3.56,85.43,222,Tier 3,1410,988,422,48,0,
SDG&E,2018,11/12/18 4:46,11/15/18 12:09,"3 days,7 hrs,23 min",3.31,79.38,79,Tier 3,867,675,192,43,0,
SDG&E,2018,11/12/18 4:59,11/16/18 2:40,"3 days,21 hrs,41 min",3.9,93.68,222,Tier 3,1410,988,422,48,0,
SDG&E,2018,11/12/18 5:30,11/15/18 14:36,"3 days,9 hrs,6 min",3.38,81.1,220,Tier 3,325,213,112,7,0,
SDG&E,2018,11/12/18 6:12,11/13/18 15:46,"1 days,9 hrs,34 min",1.4,33.57,1166,Tiers 2 & 3,269,240,29,20,0,
SDG&E,2018,11/12/18 6:14,11/14/18 15:17,"2 days,9 hrs,3 min",2.38,57.05,73,Tier 3,756,603,153,40,0,
SDG&E,2018,11/12/18 6:33,11/14/18 14:45,"2 days,8 hrs,12 min",2.34,56.2,78,Tier 3,267,232,35,16,0,
SDG&E,2018,11/12/18 6:51,11/14/18 15:05,"2 days,8 hrs,14 min",2.34,56.23,67,Tier 3,567,470,97,48,0,
SDG&E,2018,11/12/18 6:51,11/15/18 16:10,"3 days,9 hrs,19 min",3.39,81.32,157,Tier 3,1015,899,116,51,0,
SDG&E,2018,11/12/18 7:07,11/14/18 17:14,"2 days,10 hrs,7 min",2.42,58.12,448,Tier 3,149,102,47,5,0,
SDG&E,2018,11/12/18 7:19,11/15/18 9:05,"3 days,1 hrs,46 min",3.07,73.77,237,Tiers 2 & 3,311,243,68,10,0,
SDG&E,2018,11/12/18 7:47,11/14/18 16:53,"2 days,9 hrs,6 min",2.38,57.1,441,Tier 3,50,32,18,3,0,
SDG&E,2018,11/12/18 7:47,11/14/18 16:48,"2 days,9 hrs,1 min",2.38,57.02,442,Tier 3,,,,,,
SDG&E,2018,11/12/18 7:47,11/14/18 17:53,"2 days,10 hrs,6 min",2.42,58.1,"GC-SUB
441, 442",Tier 3,871,743,128,50,0,
SDG&E,2018,11/12/18 7:51,11/14/18 13:59,"2 days,6 hrs,8 min",2.26,54.13,214,Tier 3,359,287,72,14,0,
SDG&E,2018,11/12/18 7:53,11/14/18 13:05,"2 days,5 hrs,12 min",2.22,53.2,75,Tiers 2 & 3,16,0,16,0,0,Partially outside of HFTD
SDG&E,2018,11/12/18 8:15,11/13/18 17:18,"1 days,9 hrs,3 min",1.38,33.05,909,Tiers 2 & 3,495,369,126,23,0,
SDG&E,2018,11/12/18 9:19,11/14/18 12:49,"2 days,3 hrs,30 min",2.15,51.5,445,Tier 2,169,129,39,7,0,
SDG&E,2018,11/12/18 9:21,11/15/18 12:36,"3 days,3 hrs,15 min",3.14,75.25,221,Tiers 2 & 3,1622,1289,333,66,0,Partially outside of HFTD
SDG&E,2018,11/12/18 9:47,11/14/18 14:29,"2 days,4 hrs,42 min",2.2,52.7,449,Tier 3,46,31,15,0,0,
SDG&E,2018,11/12/18 11:01,11/14/18 14:19,"2 days,3 hrs,18 min",2.14,51.3,211,Tier 2,289,202,87,20,0,
SDG&E,2018,11/12/18 19:56,11/14/18 15:14,"1 days,19 hrs,18 min",1.8,43.3,358,Tiers 2 & 3,187,167,20,4,0,
SDG&E,2018,11/13/18 3:42,11/14/18 17:39,"1 days,13 hrs,57 min",1.58,37.95,1030,Tiers 2 & 3,30,28,2,1,0,
SDG&E,2018,11/13/18 5:33,11/14/18 14:05,"1 days,8 hrs,32 min",1.36,32.53,1250,Tier 2,993,918,75,41,0,Partially outside of HFTD
SDG&E,2018,11/13/18 5:39,11/14/18 9:56,"1 days,4 hrs,17 min",1.18,28.28,182,Tier 2,2509,2283,235,96,0,Partially outside of HFTD
SDG&E,2018,11/13/18 7:06,11/14/18 16:50,"1 days,9 hrs,44 min",1.41,33.73,908,Tiers 2 & 3,1743,1447,296,100,0,
SDG&E,2018,11/13/18 7:14,11/14/18 17:24,"1 days,10 hrs,10 min",1.42,34.17,185,Tier 2,1502,1146,356,82,0,Partially outside of HFTD
SDG&E,2018,11/13/18 7:21,11/15/18 9:11,"2 days,1 hrs,50 min",2.08,49.83,1030,Tiers 2 & 3,156,87,69,4,0,
SDG&E,2018,11/13/18 7:50,11/13/18 19:33,"0 days,11 hrs,43 min",0.49,11.72,307,Tier 2,999,841,158,26,0,Partially outside of HFTD
SDG&E,2018,11/13/18 8:13,11/14/18 12:43,"1 days,4 hrs,30 min",1.19,28.5,216,Tier 3,213,172,38,5,0,
SDG&E,2018,11/13/18 8:20,11/13/18 23:50,"0 days,15 hrs,30 min",0.65,15.5,306,Non-HFTD,828,715,113,17,0,Outside of HFTD
SDG&E,2018,11/13/18 8:39,11/14/18 19:01,"1 days,10 hrs,22 min",1.43,34.37,237,Tiers 2 & 3,363,286,79,13,0,
SDG&E,2018,11/13/18 9:06,11/13/18 15:22,"0 days,6 hrs,16 min",0.26,6.27,283,Tier 3,453,341,112,24,0,
SDG&E,2018,11/13/18 9:41,11/15/18 14:56,"2 days,5 hrs,15 min",2.22,53.25,212,Tiers 2 & 3,534,339,195,9,0,
SDG&E,2018,11/13/18 9:49,11/14/18 15:14,"1 days,5 hrs,25 min",1.23,29.42,1030,Tiers 2 & 3,466,399,67,16,0,
SDG&E,2018,11/13/18 9:51,11/13/18 15:20,"0 days,5 hrs,29 min",0.23,5.48,1118,Tier 2,6,0,6,0,0,
SDG&E,2018,11/13/18 21:37,11/14/18 10:32,"0 days,12 hrs,55 min",0.54,12.92,357,Tiers 2 & 3,10,9,1,1,0,
PG&E,2019,6/8/19 20:45,6/9/19 12:35,"0 days,15 hrs,50 min",0.66,15.83,BANGOR 1101,"TIER 2, TIER 3, Partially Outside HFTD",2294,2024,233,156,37,
